country_code,DOMAIN,provider_name,provider_short_desc,provider_long_desc,provider_Logo_image_url,provider_id,provider_uri,Address,City,State,Country,zip,gps
USA,deg:retail,ChargeGrid SF,EV charging solutions in San Francisco,ChargeGrid SF offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/chargegridsf.png,chargegrid_sf_001,https://chargegridsf.com,123 Market St,San Francisco,California,United States,94103,"37.7749,-122.4194"
USA,deg:retail,VoltPoint EV,EV charging solutions in San Francisco,VoltPoint EV offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/voltpointev.png,voltpoint_ev_001,https://voltpointev.com,456 Mission St,San Francisco,California,United States,94103,"37.7793,-122.4192"
USA,deg:retail,ElectroBoost,EV charging solutions in San Francisco,ElectroBoost offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/electroboost.png,electroboost_001,https://electroboost.com,789 Howard St,San Francisco,California,United States,94103,"37.7735,-122.4210"
USA,deg:retail,GreenWheels,EV charging solutions in San Francisco,GreenWheels offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/greenwheels.png,greenwheels_001,https://greenwheels.com,321 Folsom St,San Francisco,California,United States,94103,"37.7767,-122.4240"
USA,deg:retail,EVgo California,EV charging solutions in San Francisco,EVgo California offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/evgocalifornia.png,evgo_california_001,https://evgocalifornia.com,654 Harrison St,San Francisco,California,United States,94103,"37.7710,-122.4230"
USA,deg:retail,DriveCharge Hub,EV charging solutions in San Francisco,DriveCharge Hub offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/drivechargehub.png,drivecharge_hub_001,https://drivechargehub.com,987 Bryant St,San Francisco,California,United States,94103,"37.7786,-122.4177"
USA,deg:retail,eMotion Station,EV charging solutions in San Francisco,eMotion Station offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/emotionstation.png,emotion_station_001,https://emotionstation.com,213 2nd St,San Francisco,California,United States,94103,"37.7705,-122.4196"
USA,deg:retail,SuperVolt Hub,EV charging solutions in San Francisco,SuperVolt Hub offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/supervolthub.png,supervolt_hub_001,https://supervolthub.com,546 3rd St,San Francisco,California,United States,94103,"37.7758,-122.4180"
USA,deg:retail,AmplyPower SF,EV charging solutions in San Francisco,AmplyPower SF offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/amplypowersf.png,amplypower_sf_001,https://amplypowersf.com,879 4th St,San Francisco,California,United States,94103,"37.7740,-122.4215"
USA,deg:retail,EcoVolt Solutions,EV charging solutions in San Francisco,EcoVolt Solutions offers premium ev charging solutions tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/ecovoltsolutions.png,ecovolt_solutions_001,https://ecovoltsolutions.com,135 5th St,San Francisco,California,United States,94103,"37.7730,-122.4200"
