Route,Resource,Strapi Status,Location,DOMAIN,Item_name,short_desc,long_desc,Logo_image_url,provider_id (Leave),max_quantity,min_quantity,tag_name,code,value,category name,category code,provider_name,provider_short_desc,provider_long_desc,provider_Logo_image_url,provider_id,provider_uri,sku,min_price,max_price,stock_quantity,stock_status,Address,City,State,Country,zip,latitude,longitude,gps,fulfillments
"Route -1 : 
I-25 N",Megha,Done,,EV,Charging Station_Wheatland,Green Energy,Convenient Charging Point for EV,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.teslarati.com%2Ftesla-launches-supercharger-contest%2F&psig=AOvVaw0u6Jo3dPiFb1DxdJUEURSO&ust=1712659050688000&source=images&cd=vfe&opi=89978449&ved=2ahUKEwi0mfyjtrKFAxVjcmwGHfftArsQjRx6BAgAEBY,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Tesla Supercharger ,Charging station for EV,Fast-charging EV stations for your vehicle,https://lh5.googleusercontent.com/p/AF1QipM2ma-nhK2legEegnC_ZYkgZvlB2iPtx1fzMs6x=w408-h306-k-no,,https://www.tesla.com/findus/location/supercharger/cheyennesupercharger,EV_899,20,50,5,Yes,"1556 Sherard Rd, Wheatland, WY 82201, United States",Wheatland,Wyoming,USA,82201,42.07399089,-104.9655093,"42.073990893671855, -104.96550928392503",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_Tesla Wyoming,Green Energy,Convenient Charging Point for EV,https://tse2.mm.bing.net/th/id/OIP.UXglV2JQpR0UgvVkLNs2wwHaE7?rs=1&pid=ImgDetMain,,20,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Tesla Supercharger,Charging station for EV,Fast-charging EV stations for your vehicle,https://tse2.mm.bing.net/th/id/OIP.UXglV2JQpR0UgvVkLNs2wwHaE7?rs=1&pid=ImgDetMain,,https://www.tesla.com/supercharger,EV_001,20,50,5,Yes,"2370 E Cedar St, Rawlins, WY 82301, United States",Rawlins,Wyoming,USA,82301,42.0427453,-112.9819194,"42.0427453,-112.9819194",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_Riverton,Green Energy,Convenient Charging Point for EV,https://mb.cision.com/Public/865/2534256/8215f9c9967f15ea_org.jpg,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,InCharge Charging Station,Charging station for EV,Fast-charging EV stations for your vehicle,https://tse4.mm.bing.net/th/id/OIP.JFI5HfoxfHzUnuSarpOmdwHaE7?rs=1&pid=ImgDetMain,,https://inchargeus.com/,EV_002,20,50,10,Yes,"1401 N Federal Blvd, Riverton, WY 82501, United States",Riverton,Wyoming,USA,82501,42.0427453,-112.9819194,"42.0427453,-112.9819194",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_EvGo Denver,Green Energy,Convenient Charging Point for EV,https://lh5.googleusercontent.com/p/AF1QipOFoHBXp_RmwTrXCFfbRIiOIRGjXtSlyZiMB48I=w173-h175-n-k-no,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,EVgo Charging Station Denver,Charging station for EV,Fast-charging EV stations for your vehicle,https://lh5.googleusercontent.com/p/AF1QipMSFZPNyY59h54dUOd49m4zrx1Z7wY1CXnu-Rhc=w458-h240-k-no,,https://www.evgo.com/,EV_003,20,50,10,Yes,"900 E 11th Ave, Denver, CO 80218, United States",Denver,Colorado,USA,80218,39.7496584,-105.5146932,"39.7496584,-105.5146932",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_Fraser,Green Energy,Convenient Charging Point for EV,No photos available,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,ChargePoint Charging Station Fraser,Charging station for EV,Fast-charging EV stations for your vehicle,No photos available,,https://na.chargepoint.com/charge_point,EV_004,20,50,10,Yes,"575 Zerex St, Fraser, CO 80442, United States",Fraser,Colorado,USA,80442,39.9431732,-106.3371849,"39.9431732,-106.3371849",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_Granby,Green Energy,Convenient Charging Point for EV,https://lh3.googleusercontent.com/p/AF1QipMNABUpEbD2CBVqJt9KbtxMH5A7UQyfDMHrXBX5=s1360-w1360-h1020,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,ChargePoint Charging Station Granby,Charging station for EV,Fast-charging EV stations for your vehicle,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5lqxDLBdCtPbUM4qDYrc6A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.60843&pitch=0&thumbfov=100,,https://na.chargepoint.com/charge_pointt,EV_005,20,50,10,Yes,"308 W Agate Ave, Granby, CO 80446, United States",Granby,Colorado,USA,80446,39.9431732,-106.3371849,"39.9431732,-106.3371849",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_Rivian,Green Energy,Convenient Charging Point for EV,No photos available,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Rivian Waypoints Charging Station,Charging station for EV,Fast-charging EV stations for your vehicle,No photos available,,https://rivian.com/,EV_006,20,50,10,Yes,"M8FR+RR, Lander, WY 82520, United States",Lander,Wyoming,USA,82520,42.6743586,-110.7675934,"42.6743586,-110.7675934",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_Cody,Green Energy,Convenient Charging Point for EV,No photos available,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Electric Vehicle Charging Station Cody,Charging station for EV,Fast-charging EV stations for your vehicle,https://lh5.googleusercontent.com/p/AF1QipPcr3X9sfVHeJMicGjHWhEw5FBMFAKONmKeZqvn=w408-h306-k-no,,No website available,EV_007,20,50,10,Yes,"720 Sheridan Ave, Cody, WY 82414, United States",Cody,Wyoming,USA,82414,44.8319014,-109.8039811,"44.8319014,-109.8039811",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_Littleton,Green Energy,Convenient Charging Point for EV,https://lh3.googleusercontent.com/p/AF1QipP4dQ3sO9TnidC1LSkXyg7UU2Hc8VX6W9NGEk3M=s1360-w1360-h1020,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Electrify America Charging Station Littleton,Charging station for EV,Fast-charging EV stations for your vehicle,https://lh5.googleusercontent.com/p/AF1QipO1OOg5jBbuKWv-lURaCKQbl5uZkAQmLxYoMko1=w408-h725-k-no,,No website available,EV_008,20,50,10,Yes,"13420 W Coal Mine Ave, Littleton, CO 80127, United States",Littleton,Colorado,USA,80127,39.608469,-105.3135765,"39.608469,-105.3135765",BATTERY CHARGING
WY-120W,Megha,Done,,EV,Charging Station_Signature,Green Energy,Convenient Charging Point for EV,https://lh3.googleusercontent.com/p/AF1QipOFoHBXp_RmwTrXCFfbRIiOIRGjXtSlyZiMB48I=s1360-w1360-h1020,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,EVgo Charging Station Signature Cafe,Charging station for EV,Fast-charging EV stations for your vehicle,No photos available,,https://www.evgo.com/,EV_009,20,50,10,Yes,"6220 E 14th Ave, Denver, CO 80220, United States",Denver,Colorado,USA,80220,39.7358197,-104.9850868,"39.7358197,-104.9850868",BATTERY CHARGING
