provider_name,Item_name,short_desc,long_desc,Logo_image_url,tag_group_code_1,tag_group_code_2,tag_group_code_3,tag_name_1,code_1,value_1,tag_name_2,code_2,value_2,tag_name_3,code_3,value_3,category name,category code,sku,max_quantity,min_quantity,min_price,max_price,stock_quantity,stock_status,fulfillments,base_price,tax,currency,quantity_unit
Titan Eyeplus,Titan Aviator Classic,Aviator Sunglasses,"Sunglasses Classic metal aviator with UV400 lenses, best for sunny conditions.",https://d3995ea24pmi7m.cloudfront.net/media/catalog/product/M/2/M282BK1V_1_lar.jpg,style,gender,lens_type,Style,S001,Aviator,Gender,G001,Unisex,Lens Type,L001,Polarized,Retail,Retail,TIT-AVI-001,2,1,1999,1999,35,In Stock,Delivery,1694.07,18,INR,Piece
Titan Eyeplus,Titan Wayfarer Bold,Matte finish wayfarers,Sunglasses Wayfarer frame with scratch-resistant polarized lenses.,https://d3995ea24pmi7m.cloudfront.net/media/catalog/product/P/5/P506GY1PV_1_lar.jpg,style,gender,frame_material,Style,S002,Wayfarer,Gender,G001,Unisex,Frame,F001,Plastic,Retail,Retail,TIT-WAY-002,3,1,2499,2499,50,In Stock,Delivery,2117.8,18,INR,Piece
Titan Eyeplus,Titan Round Tortoise,Retro round tortoise-shell,Sunglasses Inspired by retro trends with gradient lenses and tortoiseshell finish.,https://d3995ea24pmi7m.cloudfront.net/media/catalog/product/T/C/TC1019MFP3SBRV_3_lar.jpg,style,lens_coating,gender,Style,S003,Round,Coating,C001,Gradient,Gender,G001,Unisex,Retail,Retail,TIT-RND-003,2,1,2299,2299,20,In Stock,Delivery,1948.31,18,INR,Piece
Lenskart,Vincent Chase Black,Sporty black sunglasses,Sunglasses Vincent Chase's wraparound design with anti-glare coating.,https://m.media-amazon.com/images/I/41Dr9I4x1EL._UY1100_.jpg,brand,sport_use,material,Brand,B001,VC,Use,U001,Outdoor,Material,M001,Nylon,Retail,Retail,LK-VC-BLK-101,5,1,1799,1799,40,In Stock,Delivery,1524.58,18,INR,Piece
Lenskart,John Jacobs Gold Trim,Round gold-trim sunglasses,Sunglasses Premium acetate frame with UV protection and stylish gold rim.,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/Gold-Transparent-Green-Full-Rim-Wayfarer-John-Jacobs-JJ-Tints-JJ-S13082S-C3-Sunglasses_john-jacobs-jj-s13082-c5-sunglasses_G_662218_02_2022.jpg,brand,material,lens_tech,Brand,B002,JJ,Material,M002,Acetate,Technology,T001,UV400,Retail,Retail,LK-JJ-GLD-102,3,1,2899,2899,25,In Stock,Delivery,2456.78,18,INR,Piece
Lenskart,Fossil Wayfarer,Fossil classic wayfarer Sunglasses,Rectangular Sunglasses frame with brown lenses; great for casual wear.,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/296x355/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-screen-glasses:-black-multicolour-full-rim-wayfarer-lenskart-blu-lb-e16412-c1_212625-01.png,brand,frame_shape,price_range,Brand,B003,Fossil,Frame,F002,Rect.,Price Range,P001,Mid,Retail,Retail,LK-FOS-WAY-103,4,1,2599,2599,15,In Stock,Delivery,2202.54,18,INR,Piece
Fastrack,Fastrack Wrap Purple,Wrap-around sporty sunglasses,Stylish purple wrap design ideal for sports & bike riding.,https://d3995ea24pmi7m.cloudfront.net/ft-media/catalog/product/P/4/P477PR1V_5_lar.jpg,color,sport_type,usage,Color,C002,Purple,Sport,SPT01,Biking,Usage,U002,Sporty,Retail,Retail,FT-WRAP-201,3,1,1699,1699,60,In Stock,Delivery,1439.83,18,INR,Piece
Fastrack,Fastrack Clubmaster,Clubmaster browline style sunglasses,Clubmaster-style sunglasses with tinted lenses for all-day wear.,https://d3995ea24pmi7m.cloudfront.net/media/catalog/product/c/0/c088bu5_1_lar.jpg,style,gender,tint_level,Style,S004,Clubmaster,Gender,G002,Men,Tint,TINT1,Light,Retail,Retail,FT-CLUB-202,2,1,2199,2199,30,In Stock,Delivery,1863.56,18,INR,Piece
Fastrack,Fastrack Hex Green,Edgy hexagonal green frame sunglasses,Trendy hexagonal green sunglasses with mirrored lenses.,https://d3995ea24pmi7m.cloudfront.net/ft-media/catalog/product/M/8/M8018GR8V_1_lar.jpg,frame_shape,color,lens_tech,Frame,F003,Hex,Color,C003,Green,Technology,T002,Mirror,Retail,Retail,FT-HEX-203,4,1,2399,2399,18,In Stock,Delivery,2033.05,18,INR,Piece
Wildcraft India,Wildcraft Wiki 3 Backpack,3-compartment backpack,"Lightweight, durable backpack with padded straps and 3 spacious compartments.",https://wildcraft.com/media/catalog/product/1/_/1_475.jpg?width=960,BACKPACK,TRAVEL,STUDENT,Color,C01,Black,Capacity,CP01,30L,Waterproof,WP01,Yes,Retail,Retail,WC-WIKI-3-BLK,5,1,1399,1599,50,in_stock,home_delivery,1185.59,18,INR,piece
