provider_name,Item_name,short_desc,long_desc,Logo_image_url,max_quantity,min_quantity,tag_name_1,code_1,value_1,tag_name_2,code_2,value_2,tag_name_3,code_3,value_3,tag_group_code_1,tag_group_code_2,tag_group_code_3,category name,category code,sku,min_price,max_price,stock_quantity,stock_status,fulfillments,base_price,tax,currency,quantity_unit
ChargeGrid SF,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Warranty,Compatibility,Material","warranty,compatibility,material","2 years,Universal,Aluminum","Warranty,Compatibility,Material","warranty,compatibility,material","2 years,Universal,Aluminum","Warranty,Compatibility,Material","warranty,compatibility,material","3 years,Universal,Aluminum","gen_spec","prod_spec","tech_spec",EVs,ev,EV -2583,472,472,186,in stock,delivery,431,41,USD,unit
ChargeGrid SF,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Material,Connectivity,Mount Type","material,connectivity,mount_type","Aluminum,Bluetooth,Wall","Material,Connectivity,Mount Type","material,connectivity,mount_type","Aluminum,Bluetooth,Wall","Material,Connectivity,Mount Type","material,connectivity,mount_type","Aluminum,Bluetooth,Wall","gen_spec","prod_spec","tech_spec",EVs,ev,POR-6328,142,142,132,in stock,delivery,130,12,USD,unit
ChargeGrid SF,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Connectivity,Material,Battery Type","connectivity,material,battery_type","Bluetooth,Aluminum,Lithium-ion","Connectivity,Material,Battery Type","connectivity,material,battery_type","Bluetooth,Aluminum,Lithium-ion","Connectivity,Material,Battery Type","connectivity,material,battery_type","Bluetooth,Aluminum,Lithium-ion","gen_spec","prod_spec","tech_spec",EVs,ev,EV -1857,264,264,97,in stock,delivery,241,23,USD,unit
ChargeGrid SF,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Battery Type,Charging Standard,Material","battery_type,charging_standard,material","Lithium-ion,CCS,Aluminum","Battery Type,Charging Standard,Material","battery_type,charging_standard,material","Lithium-ion,CCS,Aluminum","Battery Type,Charging Standard,Material","battery_type,charging_standard,material","Lithium-ion,CCS,Aluminum","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-7021,434,434,91,in stock,delivery,396,38,USD,unit
VoltPoint EV,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Material,Color,Charging Standard","material,color,charging_standard","Aluminum,Black,CCS","Material,Color,Charging Standard","material,color,charging_standard","Aluminum,Black,CCS","Material,Color,Charging Standard","material,color,charging_standard","Aluminum,Black,CCS","gen_spec","prod_spec","tech_spec",EVs,ev,EV -6250,258,258,151,in stock,delivery,236,22,USD,unit
VoltPoint EV,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Material,Power Output,Warranty","material,power_output,warranty","Aluminum,50kW,2 years","Material,Power Output,Warranty","material,power_output,warranty","Aluminum,50kW,2 years","Material,Power Output,Warranty","material,power_output,warranty","Aluminum,50kW,2 years","gen_spec","prod_spec","tech_spec",EVs,ev,POR-6001,267,267,188,in stock,delivery,244,23,USD,unit
VoltPoint EV,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Material,Color,Charging Standard","material,color,charging_standard","Aluminum,Black,CCS","Material,Color,Charging Standard","material,color,charging_standard","Aluminum,Black,CCS","Material,Color,Charging Standard","material,color,charging_standard","Aluminum,Black,CCS","gen_spec","prod_spec","tech_spec",EVs,ev,EV -2689,149,149,171,in stock,delivery,136,13,USD,unit
VoltPoint EV,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Color,Battery Type,Material","color,battery_type,material","Black,Lithium-ion,Aluminum","Color,Battery Type,Material","color,battery_type,material","Black,Lithium-ion,Aluminum","Color,Battery Type,Material","color,battery_type,material","Black,Lithium-ion,Aluminum","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-1118,126,126,63,in stock,delivery,115,11,USD,unit
ElectroBoost,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Connectivity,Color,Battery Type","connectivity,color,battery_type","Bluetooth,Black,Lithium-ion","Connectivity,Color,Battery Type","connectivity,color,battery_type","Bluetooth,Black,Lithium-ion","Connectivity,Color,Battery Type","connectivity,color,battery_type","Bluetooth,Black,Lithium-ion","gen_spec","prod_spec","tech_spec",EVs,ev,EV -4800,406,406,173,in stock,delivery,371,35,USD,unit
ElectroBoost,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Compatibility,Charging Standard,Material","compatibility,charging_standard,material","Universal,CCS,Aluminum","Compatibility,Charging Standard,Material","compatibility,charging_standard,material","Universal,CCS,Aluminum","Compatibility,Charging Standard,Material","compatibility,charging_standard,material","Universal,CCS,Aluminum","gen_spec","prod_spec","tech_spec",EVs,ev,POR-4198,165,165,148,in stock,delivery,151,14,USD,unit
ElectroBoost,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Charging Standard,Warranty,Voltage","charging_standard,warranty,voltage","CCS,2 years,220V","Charging Standard,Warranty,Voltage","charging_standard,warranty,voltage","CCS,2 years,220V","Charging Standard,Warranty,Voltage","charging_standard,warranty,voltage","CCS,2 years,220V","gen_spec","prod_spec","tech_spec",EVs,ev,EV -9090,494,494,104,in stock,delivery,451,43,USD,unit
ElectroBoost,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Material,Compatibility,Warranty","material,compatibility,warranty","Aluminum,Universal,2 years","Material,Compatibility,Warranty","material,compatibility,warranty","Aluminum,Universal,2 years","Material,Compatibility,Warranty","material,compatibility,warranty","Aluminum,Universal,2 years","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-4662,243,243,118,in stock,delivery,222,21,USD,unit
GreenWheels,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Connectivity,Color,Compatibility","connectivity,color,compatibility","Bluetooth,Black,Universal","Connectivity,Color,Compatibility","connectivity,color,compatibility","Bluetooth,Black,Universal","Connectivity,Color,Compatibility","connectivity,color,compatibility","Bluetooth,Black,Universal","gen_spec","prod_spec","tech_spec",EVs,ev,EV -4697,476,476,111,in stock,delivery,435,41,USD,unit
GreenWheels,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Color,Connectivity,Battery Type","color,connectivity,battery_type","Black,Bluetooth,Lithium-ion","Color,Connectivity,Battery Type","color,connectivity,battery_type","Black,Bluetooth,Lithium-ion","Color,Connectivity,Battery Type","color,connectivity,battery_type","Black,Bluetooth,Lithium-ion","gen_spec","prod_spec","tech_spec",EVs,ev,POR-9469,321,321,160,in stock,delivery,293,28,USD,unit
GreenWheels,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Compatibility,Connectivity,Mount Type","compatibility,connectivity,mount_type","Universal,Bluetooth,Wall","Compatibility,Connectivity,Mount Type","compatibility,connectivity,mount_type","Universal,Bluetooth,Wall","Compatibility,Connectivity,Mount Type","compatibility,connectivity,mount_type","Universal,Bluetooth,Wall","gen_spec","prod_spec","tech_spec",EVs,ev,EV -1384,405,405,163,in stock,delivery,370,35,USD,unit
GreenWheels,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Material,Charging Standard,Battery Type","material,charging_standard,battery_type","Aluminum,CCS,Lithium-ion","Material,Charging Standard,Battery Type","material,charging_standard,battery_type","Aluminum,CCS,Lithium-ion","Material,Charging Standard,Battery Type","material,charging_standard,battery_type","Aluminum,CCS,Lithium-ion","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-2220,422,422,134,in stock,delivery,385,37,USD,unit
EVgo California,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Connectivity,Battery Type,Power Output","connectivity,battery_type,power_output","Bluetooth,Lithium-ion,50kW","Connectivity,Battery Type,Power Output","connectivity,battery_type,power_output","Bluetooth,Lithium-ion,50kW","Connectivity,Battery Type,Power Output","connectivity,battery_type,power_output","Bluetooth,Lithium-ion,50kW","gen_spec","prod_spec","tech_spec",EVs,ev,EV -4359,143,143,74,in stock,delivery,131,12,USD,unit
EVgo California,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Charging Standard,Warranty,Color","charging_standard,warranty,color","CCS,2 years,Black","Charging Standard,Warranty,Color","charging_standard,warranty,color","CCS,2 years,Black","Charging Standard,Warranty,Color","charging_standard,warranty,color","CCS,2 years,Black","gen_spec","prod_spec","tech_spec",EVs,ev,POR-8485,538,538,129,in stock,delivery,491,47,USD,unit
EVgo California,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Power Output,Charging Standard,Connectivity","power_output,charging_standard,connectivity","50kW,CCS,Bluetooth","Power Output,Charging Standard,Connectivity","power_output,charging_standard,connectivity","50kW,CCS,Bluetooth","Power Output,Charging Standard,Connectivity","power_output,charging_standard,connectivity","50kW,CCS,Bluetooth","gen_spec","prod_spec","tech_spec",EVs,ev,EV -4464,362,362,167,in stock,delivery,331,31,USD,unit
EVgo California,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Color,Warranty,Compatibility","color,warranty,compatibility","Black,2 years,Universal","Color,Warranty,Compatibility","color,warranty,compatibility","Black,2 years,Universal","Color,Warranty,Compatibility","color,warranty,compatibility","Black,2 years,Universal","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-9091,250,250,99,in stock,delivery,228,22,USD,unit
DriveCharge Hub,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Voltage,Connectivity,Power Output","voltage,connectivity,power_output","220V,Bluetooth,50kW","Voltage,Connectivity,Power Output","voltage,connectivity,power_output","220V,Bluetooth,50kW","Voltage,Connectivity,Power Output","voltage,connectivity,power_output","220V,Bluetooth,50kW","gen_spec","prod_spec","tech_spec",EVs,ev,EV -1513,465,465,106,in stock,delivery,425,40,USD,unit
DriveCharge Hub,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Charging Standard,Power Output,Compatibility","charging_standard,power_output,compatibility","CCS,50kW,Universal","Charging Standard,Power Output,Compatibility","charging_standard,power_output,compatibility","CCS,50kW,Universal","Charging Standard,Power Output,Compatibility","charging_standard,power_output,compatibility","CCS,50kW,Universal","gen_spec","prod_spec","tech_spec",EVs,ev,POR-9664,546,546,135,in stock,delivery,499,47,USD,unit
DriveCharge Hub,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Power Output,Compatibility,Battery Type","power_output,compatibility,battery_type","50kW,Universal,Lithium-ion","Power Output,Compatibility,Battery Type","power_output,compatibility,battery_type","50kW,Universal,Lithium-ion","Power Output,Compatibility,Battery Type","power_output,compatibility,battery_type","50kW,Universal,Lithium-ion","gen_spec","prod_spec","tech_spec",EVs,ev,EV -6338,457,457,73,in stock,delivery,417,40,USD,unit
DriveCharge Hub,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Power Output,Color,Connectivity","power_output,color,connectivity","50kW,Black,Bluetooth","Power Output,Color,Connectivity","power_output,color,connectivity","50kW,Black,Bluetooth","Power Output,Color,Connectivity","power_output,color,connectivity","50kW,Black,Bluetooth","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-2207,462,462,132,in stock,delivery,422,40,USD,unit
eMotion Station,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Warranty,Color,Power Output","warranty,color,power_output","2 years,Black,50kW","Warranty,Color,Power Output","warranty,color,power_output","2 years,Black,50kW","Warranty,Color,Power Output","warranty,color,power_output","2 years,Black,50kW","gen_spec","prod_spec","tech_spec",EVs,ev,EV -2750,173,173,141,in stock,delivery,158,15,USD,unit
